GWAS Trait	Gene	MR_outcome	MR_exposure	method	nsnp	b	se	pval	MR_dir	MR_source	MR_QTL
SCZ	TTC34	TTC34	SCZ	Wald ratio	1	1.152003981	0.459495032	1.22E-02	Trait -> xQTL	MetaBrain	Brain_eQTL
SCZ	GFAP	SCZ	GFAP	Wald ratio	1	0.116311701	0.046415843	1.22E-02	xQTL -> Trait	MetaBrain	Brain_eQTL
SCZ	RNF4	SCZ	RNF4	Wald ratio	1	0.069005852	0.027540452	1.22E-02	xQTL -> Trait	MetaBrain	Brain_eQTL
SCZ	EDEM3	SCZ	EDEM3	Wald ratio	1	0.062865068	0.025089646	1.22E-02	xQTL -> Trait	MetaBrain	Brain_eQTL
SCZ	MRPL18	SCZ	MRPL18	Wald ratio	1	-0.040068828	0.015993705	1.22E-02	xQTL -> Trait	MetaBrain	Brain_eQTL
SCZ	HIC1	SCZ	HIC1	Wald ratio	1	-0.137220794	0.054772753	1.22E-02	xQTL -> Trait	MetaBrain	Brain_eQTL
SCZ	CA11	SCZ	CA11	Wald ratio	1	-0.080844773	0.032282396	1.23E-02	xQTL -> Trait	MetaBrain	Brain_eQTL
SCZ	FUT8	SCZ	FUT8	Inverse variance weighted	2	0.07899456	0.03157546	1.24E-02	xQTL -> Trait	MetaBrain	Brain_eQTL
SCZ	MRGPRX3	SCZ	MRGPRX3	Wald ratio	1	-0.100980892	0.040392357	1.24E-02	xQTL -> Trait	MetaBrain	Brain_eQTL
SCZ	RIMS2	SCZ	RIMS2	Wald ratio	1	0.129063488	0.051634001	1.24E-02	xQTL -> Trait	MetaBrain	Brain_eQTL
SCZ	OSCP1	OSCP1	SCZ	Wald ratio	1	1.414488103	0.566080933	1.25E-02	Trait -> xQTL	MetaBrain	Brain_eQTL
SCZ	ZNF713	SCZ	ZNF713	Wald ratio	1	0.083105105	0.033300551	1.26E-02	xQTL -> Trait	MetaBrain	Brain_eQTL
SCZ	ATXN3	SCZ	ATXN3	Wald ratio	1	-0.078841571	0.031596813	1.26E-02	xQTL -> Trait	MetaBrain	Brain_eQTL
SCZ	EFCAB6	SCZ	EFCAB6	Wald ratio	1	-0.046380709	0.018590548	1.26E-02	xQTL -> Trait	MetaBrain	Brain_eQTL
SCZ	KANSL3	SCZ	KANSL3	Wald ratio	1	-0.136529391	0.054729825	1.26E-02	xQTL -> Trait	MetaBrain	Brain_eQTL
SCZ	PHACTR2	SCZ	PHACTR2	Wald ratio	1	-0.08867923	0.035548509	1.26E-02	xQTL -> Trait	MetaBrain	Brain_eQTL
SCZ	ERFE	SCZ	ERFE	Wald ratio	1	0.110673276	0.044366631	1.26E-02	xQTL -> Trait	MetaBrain	Brain_eQTL
SCZ	EIF2B1	EIF2B1	SCZ	Inverse variance weighted	2	0.915512833	0.367220213	1.27E-02	Trait -> xQTL	MetaBrain	Brain_eQTL
SCZ	FLT3	SCZ	FLT3	Inverse variance weighted	2	0.026020035	0.010442102	1.27E-02	xQTL -> Trait	MetaBrain	Brain_eQTL
SCZ	PPDPF	PPDPF	SCZ	Wald ratio	1	1.545371162	0.620529672	1.28E-02	Trait -> xQTL	MetaBrain	Brain_eQTL
SCZ	DNAAF10	SCZ	DNAAF10	Wald ratio	1	0.040669677	0.016335172	1.28E-02	xQTL -> Trait	MetaBrain	Brain_eQTL
SCZ	RNF38	RNF38	SCZ	Wald ratio	1	-1.438719022	0.578067025	1.28E-02	Trait -> xQTL	MetaBrain	Brain_eQTL
SCZ	MARK3	SCZ	MARK3	Wald ratio	1	-0.066140816	0.026577995	1.28E-02	xQTL -> Trait	MetaBrain	Brain_eQTL
SCZ	FER	SCZ	FER	Wald ratio	1	-0.114786361	0.046125698	1.28E-02	xQTL -> Trait	MetaBrain	Brain_eQTL
SCZ	TACR1	SCZ	TACR1	Wald ratio	1	-0.078038802	0.031360921	1.28E-02	xQTL -> Trait	MetaBrain	Brain_eQTL
SCZ	FIGNL1	SCZ	FIGNL1	Wald ratio	1	0.025888938	0.010405424	1.28E-02	xQTL -> Trait	MetaBrain	Brain_eQTL
SCZ	LYPD1	SCZ	LYPD1	Inverse variance weighted	3	-0.035653638	0.014332051	1.29E-02	xQTL -> Trait	MetaBrain	Brain_eQTL
SCZ	MRPS30	MRPS30	SCZ	Wald ratio	1	-1.45335469	0.584263944	1.29E-02	Trait -> xQTL	MetaBrain	Brain_eQTL
SCZ	INSYN2B	SCZ	INSYN2B	Inverse variance weighted	2	-0.052405118	0.021074257	1.29E-02	xQTL -> Trait	MetaBrain	Brain_eQTL
SCZ	CLTCL1	SCZ	CLTCL1	Inverse variance weighted	2	0.029969792	0.012052224	1.29E-02	xQTL -> Trait	MetaBrain	Brain_eQTL
SCZ	STK16	SCZ	STK16	Wald ratio	1	-0.09152648	0.036843045	1.30E-02	xQTL -> Trait	MetaBrain	Brain_eQTL
SCZ	SRMS	SCZ	SRMS	Wald ratio	1	-0.128332113	0.051677361	1.30E-02	xQTL -> Trait	MetaBrain	Brain_eQTL
SCZ	PLEKHH3	SCZ	PLEKHH3	Wald ratio	1	-0.084608877	0.03407542	1.30E-02	xQTL -> Trait	MetaBrain	Brain_eQTL
SCZ	PPIA	SCZ	PPIA	Wald ratio	1	0.125480995	0.05055281	1.31E-02	xQTL -> Trait	MetaBrain	Brain_eQTL
SCZ	MGARP	SCZ	MGARP	Wald ratio	1	-0.102050311	0.041114417	1.31E-02	xQTL -> Trait	MetaBrain	Brain_eQTL
SCZ	PDIA5	SCZ	PDIA5	Wald ratio	1	-0.120843576	0.048703163	1.31E-02	xQTL -> Trait	MetaBrain	Brain_eQTL
SCZ	ENSG00000230054	SCZ	ENSG00000230054	Wald ratio	1	0.138127085	0.055685178	1.31E-02	xQTL -> Trait	MetaBrain	Brain_eQTL
SCZ	N4BP3	SCZ	N4BP3	Wald ratio	1	-0.064300729	0.025926688	1.31E-02	xQTL -> Trait	MetaBrain	Brain_eQTL
